step,predicted_class,predicted_prob,target_prob,loss
0,anomaly type 2,0.5490003228187561,0.027441207319498062,3.5957095623016357
1,anomaly type 2,0.996118426322937,2.764334965377202e-7,15.100934028625488
2,anomaly type 2,0.9976024031639099,6.098886018435223e-8,16.610937118530273
3,anomaly type 2,0.9974520802497864,6.159100962577213e-8,16.60112762451172
4,anomaly type 2,0.9975208640098572,6.634614635459002e-8,16.526874542236328
5,anomaly type 2,0.9972202777862549,6.71644500016555e-8,16.514633178710938
6,anomaly type 2,0.9974712133407593,6.589954182345537e-8,16.533618927001953
7,anomaly type 2,0.9972062706947327,7.042207528229483e-8,16.46734046936035
8,anomaly type 2,0.9975283741950989,6.208758662751279e-8,16.593111038208008
9,anomaly type 2,0.9974545836448669,6.782113359804498e-8,16.504919052124023
10,anomaly type 2,0.997566819190979,6.510412475790872e-8,16.545743942260742
11,anomaly type 2,0.9971597194671631,7.559243186960884e-8,16.396587371826172
12,anomaly type 2,0.9975579977035522,6.584296130540679e-8,16.534475326538086
13,anomaly type 2,0.9974477291107178,6.335619673336623e-8,16.57291603088379
14,anomaly type 2,0.9973737001419067,7.129474255407331e-8,16.455041885375977
15,anomaly type 2,0.997386634349823,6.563894316968799e-8,16.537574768066406
16,anomaly type 2,0.9975993037223816,6.125774376641857e-8,16.606544494628906
17,anomaly type 2,0.9974024891853333,7.008001290387256e-8,16.47220230102539
18,anomaly type 2,0.997401237487793,6.729629120627578e-8,16.512676239013672
19,anomaly type 2,0.9975646734237671,6.595639945317089e-8,16.532756805419922
20,anomaly type 2,0.9974793791770935,6.189252133026457e-8,16.59625244140625
21,anomaly type 2,0.9974701404571533,7.096786447391423e-8,16.459630966186523
22,anomaly type 2,0.9973599314689636,6.724898327092887e-8,16.513378143310547
23,anomaly type 2,0.9972376823425293,7.409020241766484e-8,16.41663360595703
24,anomaly type 2,0.9974164962768555,6.678048691810545e-8,16.52035903930664
25,anomaly type 2,0.997422456741333,6.788702933135937e-8,16.503948211669922
26,anomaly type 2,0.9974525570869446,7.15903638592863e-8,16.450908660888672
27,anomaly type 2,0.9974690675735474,6.656311057895437e-8,16.52361488342285
28,anomaly type 2,0.9974435567855835,6.874599023376504e-8,16.49139404296875
29,anomaly type 2,0.9975743889808655,6.69430875177568e-8,16.51793098449707
30,anomaly type 2,0.9975346326828003,6.302676069935842e-8,16.578121185302734
31,anomaly type 2,0.9973376393318176,6.945907671251916e-8,16.481088638305664
32,anomaly type 2,0.9974984526634216,6.44702211616277e-8,16.555513381958008
33,anomaly type 2,0.9974715709686279,6.212254533011219e-8,16.592548370361328
34,anomaly type 2,0.9974702596664429,6.534101260058378e-8,16.542116165161133
35,anomaly type 2,0.9975862503051758,6.180772516017896e-8,16.597620010375977
36,anomaly type 2,0.997605562210083,6.6574131096786e-8,16.523448944091797
37,anomaly type 2,0.9974948167800903,6.483845282900802e-8,16.54982566833496
38,anomaly type 2,0.9973902106285095,6.621293380248972e-8,16.528881072998047
39,anomaly type 2,0.9976237416267395,6.482667203044912e-8,16.550006866455078
40,anomaly type 2,0.9974835515022278,6.686144615741796e-8,16.519147872924805
41,anomaly type 2,0.9972906708717346,7.278406144450855e-8,16.434396743774414
42,anomaly type 2,0.9974628686904907,7.295870574353103e-8,16.432003021240234
43,anomaly type 2,0.9973928928375244,6.982956080037184e-8,16.47577667236328
44,anomaly type 2,0.9974071383476257,6.61619239394895e-8,16.52964973449707
45,anomaly type 2,0.9976413249969482,6.022825260743048e-8,16.623464584350586
46,anomaly type 2,0.9976621866226196,6.300043509099851e-8,16.57853889465332
47,anomaly type 2,0.9973422884941101,7.40668824050772e-8,16.416948318481445
48,anomaly type 2,0.9975243210792542,7.077570529645527e-8,16.462337493896484
49,anomaly type 2,0.9972289204597473,7.270837443229539e-8,16.435434341430664
