iteration,chain,Pr(no anomaly | no anomaly),Pr(cracking | no anomaly),Pr(porosity | no anomaly),Pr(lack of penetration | no anomaly),Pr(no anomaly | cracking),Pr(cracking | cracking),Pr(porosity | cracking),Pr(lack of penetration | cracking),Pr(no anomaly | porosity),Pr(cracking | porosity),Pr(porosity | porosity),Pr(lack of penetration | porosity),Pr(no anomaly | lack of penetration),Pr(cracking | lack of penetration),Pr(porosity | lack of penetration),Pr(lack of penetration | lack of penetration)
5001,1,0.9439604538045074,0.018043202025486742,0.023682577239063637,0.014313766930942218,0.024317595359416782,0.9512228318544259,0.00838494632169555,0.016074626464461783,0.09650045056208396,0.006165663604541149,0.8513542950017865,0.045979590831588424,0.04435669208135461,0.025537123574491727,0.010416876251528878,0.9196893080926248
5002,1,0.8502639691051569,0.027146753811565102,0.117307586043935,0.005281691039343062,0.025277025919043596,0.953161913501832,0.013880720627123156,0.007680339952001236,0.27764975396821084,0.040787809200810564,0.6557525415117628,0.025809895319215848,0.0034904420116265147,0.007666215411448167,0.008857661869359549,0.9799856807075658
5003,1,0.9446929973324872,0.017182648471450162,0.023767863110440293,0.014356491085622314,0.011617956298182954,0.9519337706498331,0.016493761575166906,0.01995451147681704,0.07052813625561508,0.006980106664384271,0.8636734946261119,0.05881826245388877,0.011213233824220278,0.012078018898835337,0.020333765382508633,0.9563749818944357
5004,1,0.8402565156315278,0.003892760666974485,0.1486786446167784,0.007172079084719285,0.104650021478543,0.8844381876549795,0.006165587349748944,0.004746203516728609,0.2937811646895902,0.028723114634510088,0.6564944882774743,0.02100123239842544,0.009601734044544272,0.01576308855269719,0.01198110799279112,0.9626540694099674
5005,1,0.9018770655563816,0.003536912602854643,0.08659383447480044,0.00799218736596341,0.02576847310790766,0.9632420781924468,0.004826877249263456,0.006162571450382126,0.24096323669255484,0.016494836710540094,0.7243150804331429,0.018226846163762245,0.006278258596530479,0.010410439299087054,0.02373977334307041,0.959571528761312
5006,1,0.9318182354726338,0.00143890144286308,0.028139437812617005,0.038603425271886205,0.13961158743491006,0.8295303502183572,0.0037955149706037842,0.027062547376128898,0.11477778974985454,0.01342496125592868,0.7476129822939261,0.12418426670029059,0.03405174339483358,0.02268474473867084,0.00573931376127343,0.9375241981052221
5007,1,0.9456591012458896,0.003144370014656433,0.040716629835645515,0.010479898903808516,0.05051386797308051,0.9036929159722876,0.042186923135383456,0.0036062929192484106,0.07203732311263981,0.029681394924170348,0.8777423341225874,0.020538947840602395,0.006580906833024931,0.005278887720673336,0.027214833542374042,0.9609253719039277
5008,1,0.9338630680325734,0.01326822677149215,0.04733578451938377,0.005532920676550646,0.03313303481097096,0.9649503011159843,0.0017527848396188214,0.00016387923342586763,0.13232083652263552,0.029603442309204857,0.746260353315794,0.09181536785236566,0.006393280734681678,0.004143046833767551,0.005205766916206731,0.9842579055153441
5009,1,0.910349961849986,0.019226908590949814,0.053382504677441135,0.017040624881623168,0.045916518410117936,0.8179995066867347,0.012658311832661048,0.1234256630704863,0.11178594735905269,0.0056594128837277125,0.8686366470768363,0.013917992680383295,0.0065378802089606875,0.038802514227703803,0.03465143866221358,0.920008166901122
5010,1,0.8950292277968019,0.02846997081534803,0.042736668734923565,0.03376413265292644,0.05472622906989866,0.8677988402939112,0.057632743332465604,0.019842187303724557,0.12706624006347986,0.012351986421134647,0.8509681475367774,0.009613625978608153,0.0008645643321890995,0.009359154653499294,0.07930762044263955,0.9104686605716721
5011,1,0.922481290894756,0.013762709100481493,0.057347116505649234,0.006408883499113283,0.07418323226858387,0.830894919385486,0.05758829291595012,0.03733355542998007,0.11355227133960046,0.015327160051039023,0.8576207002733547,0.013499868336005805,0.0007919487148843059,0.008626298474051325,0.027468543893914312,0.96311320891715
5012,1,0.8958519544992327,0.02619746160966338,0.07287353639767576,0.005077047493428077,0.05114095961410904,0.9320982538703904,0.008463502800180007,0.00829728371532057,0.0846992763032803,0.010864694799680623,0.8908376422652782,0.01359838663176094,0.0012132324555628043,0.004540933626011343,0.015179952643580389,0.9790658812748455
5013,1,0.8437708444440829,0.04133439930464792,0.09811084664817832,0.01678390960309084,0.04459223446867423,0.9359924891333276,0.008357885650453652,0.011057390747544527,0.16457450844020433,0.013389248621591516,0.7229350625474137,0.09910118039079041,0.006750412389303063,0.04025509833970878,0.006546024384225515,0.9464484648867626
5014,1,0.9496877415977387,0.012612341919319606,0.032145959610648055,0.005553956872293653,0.04197214251400121,0.9203295813258554,0.02534191418971488,0.012356361970428553,0.16387366142357615,0.030181451751053485,0.7923233692442444,0.013621517581125953,0.008664007956884434,0.003390908740782029,0.006352607430329538,0.981592475872004
5015,1,0.8681568270589479,0.013977448219260275,0.11015303379055053,0.007712690931241273,0.04425929471250075,0.9287081653248381,0.01317164535217566,0.013860894610485452,0.16301918590337205,0.019114848951759505,0.7525535199359631,0.06531244520890533,0.009664074567898012,0.02233275768971173,0.022818940963960803,0.9451842267784295
5016,1,0.9173085424053602,0.03440196997230357,0.047216096597182476,0.0010733910251536916,0.044093537344735624,0.9362274176075928,0.004253408253431539,0.015425636794240027,0.1197388080612259,0.02464506571670989,0.8344977888921744,0.02111833732988977,0.0034515255997893068,0.010920070543886454,0.01087158974703469,0.9747568141092895
5017,1,0.9097228600835474,0.011040524814487036,0.07875359255029775,0.00048302255166776664,0.043054913283761244,0.9230150827988944,0.009323818142326403,0.02460618577501794,0.11284842234419028,0.018407576645378555,0.8166157852755836,0.052128215734847494,0.005036159169072549,0.04382344207409609,0.0050645702700664015,0.946075828486765
5018,1,0.9175613465611322,0.021677599280346477,0.059872299784901224,0.0008887543736200154,0.028111252555226902,0.9555230556500808,0.013150718111482607,0.0032149736832096654,0.16470077540720734,0.011192154089154773,0.7783940095439998,0.04571306095963801,0.04338324210224524,0.004115579127732558,0.023641820015638353,0.9288593587543839
5019,1,0.9154624735003432,0.020756190227893143,0.06308817485308744,0.000693161418676258,0.035079425613376715,0.9407612558853264,0.015252374980476045,0.008906943520820776,0.14392789547053236,0.012789419418318971,0.8138860242413674,0.02939666086978132,0.03346933330924415,0.005760363413081209,0.010345094318775293,0.9504252089588994
5020,1,0.8863851775431904,0.009554638430975275,0.07867644772582956,0.02538373630000479,0.05332927520463781,0.9200493814649329,0.016740243097149537,0.009881100233279816,0.18530464366637003,0.04204978293717085,0.7225018921109869,0.0501436812854722,0.00774543573093942,0.005352055063060378,0.011593124802225198,0.975309384403775
