iteration,chain,true_state_scenario,cost_model,cost_manual,lowest_cost
5001,1,no_anomaly,1.1259166417812538,10,1.1259166417812538
5001,1,lack_of_penetration,135.4433424315236,110,110.0
5001,1,cracking,83.85615612707537,60,60.0
5001,1,porosity,58.41469610071887,40,40.0
5002,1,no_anomaly,1.5682443558765713,10,1.5682443558765713
5002,1,lack_of_penetration,127.01336861392006,110,110.0
5002,1,cracking,183.70169206568812,60,60.0
5002,1,porosity,49.8433850217794,40,40.0
5003,1,no_anomaly,1.1961170097739482,10,1.1961170097739482
5003,1,lack_of_penetration,120.17283646524204,110,110.0
5003,1,cracking,117.50767787704122,60,60.0
5003,1,porosity,50.88350085550923,40,40.0
5004,1,no_anomaly,0.7553435659067542,10,0.7553435659067542
5004,1,lack_of_penetration,117.67420882943968,110,110.0
5004,1,cracking,89.85017245867854,60,60.0
5004,1,porosity,86.16195538964237,40,40.0
5005,1,no_anomaly,0.6890074051397055,10,0.6890074051397055
5005,1,lack_of_penetration,139.6463958530789,110,110.0
5005,1,cracking,123.36843149001598,60,60.0
5005,1,porosity,64.91988008764737,40,40.0
5006,1,no_anomaly,0.8207650140011258,10,0.8207650140011258
5006,1,lack_of_penetration,184.19032193549788,110,110.0
5006,1,cracking,108.72424052428795,60,60.0
5006,1,porosity,67.05842226331774,40,40.0
5007,1,no_anomaly,1.309396720058743,10,1.309396720058743
5007,1,lack_of_penetration,110.38785835423629,110,110.0
5007,1,cracking,94.53767533830879,60,60.0
5007,1,porosity,65.12172347037814,40,40.0
5008,1,no_anomaly,0.7814373653455209,10,0.7814373653455209
5008,1,lack_of_penetration,110.52193149035013,110,110.0
5008,1,cracking,72.88262536906439,60,60.0
5008,1,porosity,68.37089279225853,40,40.0
5009,1,no_anomaly,1.4777397796637293,10,1.4777397796637293
5009,1,lack_of_penetration,110.10432443788527,110,110.0
5009,1,cracking,72.10801031448769,60,60.0
5009,1,porosity,85.74594099098303,40,40.0
5010,1,no_anomaly,0.6957973563085218,10,0.6957973563085218
5010,1,lack_of_penetration,115.09411415748679,110,110.0
5010,1,cracking,83.5311573401546,60,60.0
5010,1,porosity,61.97873349937089,40,40.0
5011,1,no_anomaly,1.3190079828403456,10,1.3190079828403456
5011,1,lack_of_penetration,128.55616132575346,110,110.0
5011,1,cracking,115.13446457339579,60,60.0
5011,1,porosity,65.53759565934857,40,40.0
5012,1,no_anomaly,0.7592013097650985,10,0.7592013097650985
5012,1,lack_of_penetration,114.1551345580087,110,110.0
5012,1,cracking,89.1711870836898,60,60.0
5012,1,porosity,64.68852512299796,40,40.0
5013,1,no_anomaly,1.3989680682611239,10,1.3989680682611239
5013,1,lack_of_penetration,128.901708046498,110,110.0
5013,1,cracking,111.72928673571714,60,60.0
5013,1,porosity,67.56790176272662,40,40.0
5014,1,no_anomaly,0.7875628869903806,10,0.7875628869903806
5014,1,lack_of_penetration,111.86150429356717,110,110.0
5014,1,cracking,81.36079886946837,60,60.0
5014,1,porosity,61.17499832976907,40,40.0
5015,1,no_anomaly,1.0270944159985707,10,1.0270944159985707
5015,1,lack_of_penetration,111.44101528450521,110,110.0
5015,1,cracking,76.0939494995244,60,60.0
5015,1,porosity,60.70482379942595,40,40.0
5016,1,no_anomaly,1.2199810519310994,10,1.2199810519310994
5016,1,lack_of_penetration,110.67306368132051,110,110.0
5016,1,cracking,76.91933583897682,60,60.0
5016,1,porosity,55.067198639104845,40,40.0
5017,1,no_anomaly,0.7275697511291268,10,0.7275697511291268
5017,1,lack_of_penetration,121.87012675552243,110,110.0
5017,1,cracking,90.56801231038783,60,60.0
5017,1,porosity,79.8482468487322,40,40.0
5018,1,no_anomaly,1.448430678846141,10,1.448430678846141
5018,1,lack_of_penetration,120.88084356704024,110,110.0
5018,1,cracking,116.70568864477144,60,60.0
5018,1,porosity,58.76796592154489,40,40.0
5019,1,no_anomaly,0.5157440817664138,10,0.5157440817664138
5019,1,lack_of_penetration,118.22107241207698,110,110.0
5019,1,cracking,81.31980636791613,60,60.0
5019,1,porosity,74.4251945193852,40,40.0
5020,1,no_anomaly,1.7067223947935561,10,1.7067223947935561
5020,1,lack_of_penetration,111.06911354602087,110,110.0
5020,1,cracking,122.21903786674449,60,60.0
5020,1,porosity,60.52410198553695,40,40.0
5021,1,no_anomaly,1.0475631057077517,10,1.0475631057077517
5021,1,lack_of_penetration,115.69751382254047,110,110.0
5021,1,cracking,182.2218613638061,60,60.0
5021,1,porosity,66.21851718765521,40,40.0
5022,1,no_anomaly,0.9749158839435212,10,0.9749158839435212
5022,1,lack_of_penetration,122.8444076323418,110,110.0
5022,1,cracking,69.17503205744767,60,60.0
5022,1,porosity,69.05543425711788,40,40.0
5023,1,no_anomaly,0.9819399623111036,10,0.9819399623111036
5023,1,lack_of_penetration,123.24890895536065,110,110.0
5023,1,cracking,165.57265597282375,60,60.0
5023,1,porosity,63.22450603197869,40,40.0
5024,1,no_anomaly,1.0651118896591238,10,1.0651118896591238
5024,1,lack_of_penetration,118.51729939488851,110,110.0
5024,1,cracking,124.02142326830102,60,60.0
5024,1,porosity,70.65671689669094,40,40.0
5025,1,no_anomaly,0.9202661282026703,10,0.9202661282026703
5025,1,lack_of_penetration,112.30278024007323,110,110.0
5025,1,cracking,80.59069925517458,60,60.0
5025,1,porosity,56.84959313326962,40,40.0
5026,1,no_anomaly,0.7582031208626006,10,0.7582031208626006
5026,1,lack_of_penetration,131.0495753804758,110,110.0
5026,1,cracking,86.93046961788468,60,60.0
5026,1,porosity,65.45224885331956,40,40.0
5027,1,no_anomaly,1.3368408744579308,10,1.3368408744579308
5027,1,lack_of_penetration,112.98464168331468,110,110.0
5027,1,cracking,95.62054950384257,60,60.0
5027,1,porosity,54.20234472575311,40,40.0
5028,1,no_anomaly,0.7932888804637328,10,0.7932888804637328
5028,1,lack_of_penetration,150.35501277585337,110,110.0
5028,1,cracking,93.1045091072969,60,60.0
5028,1,porosity,69.82801668961157,40,40.0
5029,1,no_anomaly,1.0693032122007862,10,1.0693032122007862
5029,1,lack_of_penetration,121.20309673725451,110,110.0
5029,1,cracking,76.90310418368003,60,60.0
5029,1,porosity,63.779313534307704,40,40.0
5030,1,no_anomaly,1.013807230747128,10,1.013807230747128
5030,1,lack_of_penetration,114.32117541974803,110,110.0
5030,1,cracking,139.17782419451254,60,60.0
5030,1,porosity,68.73035590622473,40,40.0
5031,1,no_anomaly,0.967787561074277,10,0.967787561074277
5031,1,lack_of_penetration,111.63930389008168,110,110.0
5031,1,cracking,78.58942443209995,60,60.0
5031,1,porosity,63.61465534808447,40,40.0
5032,1,no_anomaly,0.7630277659746265,10,0.7630277659746265
5032,1,lack_of_penetration,110.89141055177711,110,110.0
5032,1,cracking,73.95574205895149,60,60.0
5032,1,porosity,59.86751011302669,40,40.0
5033,1,no_anomaly,0.7763229763067703,10,0.7763229763067703
5033,1,lack_of_penetration,110.6683306960729,110,110.0
5033,1,cracking,76.8140619514098,60,60.0
5033,1,porosity,64.08056404809301,40,40.0
5034,1,no_anomaly,0.6226506063984005,10,0.6226506063984005
5034,1,lack_of_penetration,111.35348141629188,110,110.0
5034,1,cracking,70.38199328552612,60,60.0
5034,1,porosity,64.36879889624052,40,40.0
5035,1,no_anomaly,0.9471131189344284,10,0.9471131189344284
5035,1,lack_of_penetration,138.150540880214,110,110.0
5035,1,cracking,83.37993803094058,60,60.0
5035,1,porosity,70.19359901208469,40,40.0
5036,1,no_anomaly,0.9526115101597499,10,0.9526115101597499
5036,1,lack_of_penetration,120.27111185184633,110,110.0
5036,1,cracking,103.53630299857983,60,60.0
5036,1,porosity,85.17178041806807,40,40.0
5037,1,no_anomaly,1.0481148518219896,10,1.0481148518219896
5037,1,lack_of_penetration,119.4792886432556,110,110.0
5037,1,cracking,96.99622599634552,60,60.0
5037,1,porosity,53.427572681562836,40,40.0
