Epoch,Loss,PredLabelIndex,PredLabelName,Prob_NoAnomaly,Prob_AnomalyType1,Prob_AnomalyType2,Prob_AnomalyType3
1,17.851303100585938,3,anomaly type 3,4.66590925896071e-8,9.728226359584369e-6,3.03227594145028e-8,0.9999902248382568
2,16.88039779663086,3,anomaly type 3,9.923289923108314e-8,1.593784872966353e-5,4.4332910675848325e-8,0.9999839067459106
3,16.125795364379883,3,anomaly type 3,2.0115494692163338e-7,2.359879363211803e-5,6.229706883686958e-8,0.9999761581420898
4,15.419190406799316,3,anomaly type 3,3.7802226415806217e-7,3.560804543667473e-5,8.3712826892679e-8,0.9999638795852661
5,14.788312911987305,3,anomaly type 3,6.879968168505002e-7,4.8708785470807925e-5,1.1307707126206878e-7,0.9999505281448364
6,14.189481735229492,3,anomaly type 3,1.210089635605982e-6,6.749302701791748e-5,1.524205828218328e-7,0.9999310970306396
7,13.624815940856934,3,anomaly type 3,2.0580475847964408e-6,9.023138409247622e-5,2.0324775107383175e-7,0.9999074935913086
8,13.09375286102295,3,anomaly type 3,3.432434368733084e-6,0.00011620445002336055,2.6385757223579276e-7,0.9998800754547119
9,12.58224105834961,3,anomaly type 3,5.385084023146192e-6,0.00014189125795383006,3.328646300815308e-7,0.9998524188995361
10,12.131877899169922,3,anomaly type 3,8.130994501698297e-6,0.00016841331671457738,4.1673527562124946e-7,0.9998230338096619
11,11.719827651977539,3,anomaly type 3,1.2250723557372112e-5,0.0002012514742091298,5.293414915286121e-7,0.9997859597206116
12,11.309925079345703,3,anomaly type 3,1.8702514353208244e-5,0.00023841159418225288,6.974466941755963e-7,0.9997422099113464
13,10.886852264404297,3,anomaly type 3,2.787942867144011e-5,0.0002764945093076676,9.083374834517599e-7,0.9996947050094604
14,10.487621307373047,3,anomaly type 3,4.076342156622559e-5,0.00031876203138381243,1.1707211342582013e-6,0.9996392726898193
15,10.107725143432617,3,anomaly type 3,5.785481698694639e-5,0.0003666095435619354,1.4725608252774691e-6,0.9995740056037903
16,9.757574081420898,3,anomaly type 3,8.023485133890063e-5,0.00041477251215837896,1.8145894955523545e-6,0.9995031356811523
17,9.43055248260498,3,anomaly type 3,0.00010617298539727926,0.0004595149075612426,2.212396111644921e-6,0.9994320273399353
18,9.15044116973877,3,anomaly type 3,0.00014161158469505608,0.00050444679800421,2.7500100259203464e-6,0.9993512034416199
19,8.862422943115234,3,anomaly type 3,0.00020578039402607828,0.0005612553213723004,3.4712643355305772e-6,0.9992295503616333
20,8.488700866699219,3,anomaly type 3,0.00030969895306043327,0.000631064991466701,4.3344016376067884e-6,0.9990548491477966
21,8.079910278320312,3,anomaly type 3,0.00047596750664524734,0.0007383006741292775,5.4272682064038236e-6,0.9987803101539612
22,7.650160789489746,3,anomaly type 3,0.0008144564926624298,0.0009929011575877666,6.973773452045862e-6,0.9981856942176819
23,7.11298942565918,3,anomaly type 3,0.0016757994890213013,0.0015167782548815012,9.211119504470844e-6,0.9967982172966003
24,6.391464710235596,3,anomaly type 3,0.004529599566012621,0.0026401199866086245,1.2573349522426724e-5,0.992817759513855
25,5.397121906280518,3,anomaly type 3,0.013892799615859985,0.0052046398632228374,1.8676681065699086e-5,0.9808838367462158
26,4.2763848304748535,3,anomaly type 3,0.05174936354160309,0.011651376262307167,2.9853616069885902e-5,0.9365694522857666
27,2.961343288421631,3,anomaly type 3,0.26230746507644653,0.02299390360713005,4.3979453039355576e-5,0.7146546840667725
28,1.338238000869751,0,no anomaly,0.6508456468582153,0.02166840061545372,3.608484985306859e-5,0.3274499177932739
29,0.4294828176498413,0,no anomaly,0.7957439422607422,0.01625453680753708,2.6973053536494263e-5,0.18797452747821808
30,0.22847779095172882,0,no anomaly,0.8602722883224487,0.012589867226779461,2.0843479433096945e-5,0.12711702287197113
31,0.15050631761550903,0,no anomaly,0.8941194415092468,0.010403946042060852,1.7227164789801463e-5,0.09545931965112686
32,0.11191591620445251,0,no anomaly,0.9135439395904541,0.009025413542985916,1.4969506082707085e-5,0.07741570472717285
33,0.0904238149523735,0,no anomaly,0.9276841282844543,0.007949327118694782,1.3262081665743608e-5,0.06435329467058182
34,0.07506396621465683,0,no anomaly,0.9378805160522461,0.007127618882805109,1.194760170619702e-5,0.05497988685965538
