Epoch,Loss,PredLabelIndex,PredLabelName,Prob_NoAnomaly,Prob_AnomalyType1,Prob_AnomalyType2,Prob_AnomalyType3
1,32.40209197998047,3,anomaly type 3,1.2610644306413916e-14,3.132791243842803e-5,1.0115573309543713e-11,0.9999686479568481
2,32.004234313964844,3,anomaly type 3,1.822341749886918e-14,3.1165749533101916e-5,1.16674760131108e-11,0.9999688863754272
3,31.63606834411621,3,anomaly type 3,2.571075845985999e-14,3.115175786660984e-5,1.3464269629781533e-11,0.9999688863754272
4,31.291866302490234,3,anomaly type 3,3.5642370538281273e-14,3.1208070140564814e-5,1.549443906512238e-11,0.9999687671661377
5,30.965240478515625,3,anomaly type 3,4.853871482263933e-14,3.113886486971751e-5,1.7570132848643283e-11,0.9999688863754272
6,30.656414031982422,3,anomaly type 3,6.564094699647999e-14,3.1136580219026655e-5,2.0000763198413374e-11,0.9999688863754272
7,30.354576110839844,3,anomaly type 3,8.759537013921723e-14,3.114192440989427e-5,2.259442979934967e-11,0.9999688863754272
8,30.06604766845703,3,anomaly type 3,1.1642900185626637e-13,3.11472722387407e-5,2.550220104535761e-11,0.9999688863754272
9,29.781494140625,3,anomaly type 3,1.5319694026804526e-13,3.108628516201861e-5,2.8521313782947644e-11,0.9999688863754272
10,29.507051467895508,3,anomaly type 3,2.0103088302098754e-13,3.113366983598098e-5,3.1973566155807376e-11,0.9999688863754272
11,29.23531723022461,3,anomaly type 3,2.627092879174675e-13,3.1174218747764826e-5,3.568297046729896e-11,0.9999687671661377
12,28.967727661132812,3,anomaly type 3,3.3978172380745575e-13,3.132429628749378e-5,3.975047027648948e-11,0.9999686479568481
13,28.710472106933594,3,anomaly type 3,4.3446558742159247e-13,3.1433879485121e-5,4.387179161624566e-11,0.9999685287475586
14,28.464658737182617,3,anomaly type 3,5.508913637763957e-13,3.1532414141111076e-5,4.815056686702235e-11,0.999968409538269
15,28.22723960876465,3,anomaly type 3,6.965114249246618e-13,3.1707102607470006e-5,5.294975916059208e-11,0.9999682903289795
16,27.992692947387695,3,anomaly type 3,8.76227475993252e-13,3.1889558158582076e-5,5.819130940998285e-11,0.9999680519104004
17,27.763151168823242,3,anomaly type 3,1.0909155523375347e-12,3.187822221661918e-5,6.345576841759737e-11,0.9999681711196899
18,27.544004440307617,3,anomaly type 3,1.355068834918427e-12,3.200646460754797e-5,6.950388875548441e-11,0.9999680519104004
19,27.32716941833496,3,anomaly type 3,1.6794701480221663e-12,3.208096313755959e-5,7.592269868350598e-11,0.9999679327011108
20,27.1125431060791,3,anomaly type 3,2.071243784124155e-12,3.214165917597711e-5,8.250483629623773e-11,0.9999678134918213
21,26.90287208557129,3,anomaly type 3,2.5422175215644716e-12,3.216483673895709e-5,8.913297877555237e-11,0.9999678134918213
22,26.69798469543457,3,anomaly type 3,3.1264027824939866e-12,3.2098498195409775e-5,9.649124554922395e-11,0.9999679327011108
23,26.491138458251953,3,anomaly type 3,3.840168200791583e-12,3.206646579201333e-5,1.0447289561232864e-10,0.9999679327011108
24,26.285505294799805,3,anomaly type 3,4.717940881721061e-12,3.203959931852296e-5,1.1333678440195172e-10,0.9999679327011108
25,26.079648971557617,3,anomaly type 3,5.785749917358585e-12,3.187135007465258e-5,1.223839779518343e-10,0.9999681711196899
26,25.87562370300293,3,anomaly type 3,7.0505537172471655e-12,3.1776053219800815e-5,1.3248596664183765e-10,0.9999681711196899
27,25.677915573120117,3,anomaly type 3,8.651760731448466e-12,3.168503462802619e-5,1.4349570143235013e-10,0.9999682903289795
28,25.47325897216797,3,anomaly type 3,1.0612944550958403e-11,3.152541466988623e-5,1.5495124627840084e-10,0.9999685287475586
29,25.268945693969727,3,anomaly type 3,1.2979637330212679e-11,3.1417694117408246e-5,1.6695143878475704e-10,0.9999685287475586
30,25.067638397216797,3,anomaly type 3,1.5870443847987303e-11,3.125575676676817e-5,1.8001491963737237e-10,0.9999687671661377
31,24.866561889648438,3,anomaly type 3,1.9314138829940042e-11,3.1139370548771694e-5,1.9320042787818181e-10,0.9999688863754272
32,24.670183181762695,3,anomaly type 3,2.359193569667628e-11,3.098196248174645e-5,2.0699805758361833e-10,0.9999690055847168
33,24.470115661621094,3,anomaly type 3,2.8753022532357342e-11,3.083046613028273e-5,2.2087681683657934e-10,0.9999691247940063
34,24.27227783203125,3,anomaly type 3,3.510519652749622e-11,3.063010808546096e-5,2.349352656860759e-10,0.9999693632125854
35,24.07267189025879,3,anomaly type 3,4.286952390297749e-11,3.048292091989424e-5,2.5084787025342337e-10,0.999969482421875
