Epoch,Loss,PredLabelIndex,PredLabelName,Prob_NoAnomaly,Prob_AnomalyType1,Prob_AnomalyType2,Prob_AnomalyType3
1,43.06489944458008,3,anomaly type 3,2.847372544824375e-19,1.8528764485381544e-5,3.078356527025214e-19,0.9999815225601196
2,42.702720642089844,3,anomaly type 3,4.082750504554012e-19,1.866220736701507e-5,4.0419327602397e-19,0.9999812841415405
3,42.34234619140625,3,anomaly type 3,5.817940717191452e-19,1.8808987078955397e-5,5.283491568602698e-19,0.999981164932251
4,41.9881706237793,3,anomaly type 3,8.256100033649426e-19,1.8946891941595823e-5,6.881199193554997e-19,0.9999810457229614
5,41.63816452026367,3,anomaly type 3,1.1673472657320377e-18,1.9178016373189166e-5,8.878812972512768e-19,0.9999808073043823
6,41.29179763793945,3,anomaly type 3,1.6395236728683854e-18,1.9456867448752746e-5,1.137386060162331e-18,0.9999805688858032
7,40.952125549316406,3,anomaly type 3,2.286634510694132e-18,2.0009327272418886e-5,1.45959627660404e-18,0.9999799728393555
8,40.619449615478516,3,anomaly type 3,3.166330545591467e-18,2.066900378849823e-5,1.8598283397708584e-18,0.9999793767929077
9,40.2939567565918,3,anomaly type 3,4.417511325634835e-18,2.1627180103678256e-5,2.3738590519266236e-18,0.9999784231185913
10,39.96095657348633,3,anomaly type 3,6.217716073262565e-18,2.282571222167462e-5,3.0556593631010065e-18,0.9999772310256958
11,39.6191291809082,3,anomaly type 3,8.693336538506687e-18,2.408664113318082e-5,3.9396168257190614e-18,0.9999759197235107
12,39.283973693847656,3,anomaly type 3,1.2137681040411155e-17,2.542386755521875e-5,5.068470207670178e-18,0.9999746084213257
13,38.950218200683594,3,anomaly type 3,1.6831241148018717e-17,2.6848076231544837e-5,6.465005439698049e-18,0.9999731779098511
14,38.623294830322266,3,anomaly type 3,2.3191196304283757e-17,2.834168481058441e-5,8.194152891165636e-18,0.9999716281890869
15,38.302757263183594,3,anomaly type 3,3.166713406137987e-17,2.991273686347995e-5,1.0420666674168495e-17,0.9999700784683228
16,37.99125289916992,3,anomaly type 3,4.316159284002489e-17,3.15551005769521e-5,1.3226661835295378e-17,0.999968409538269
17,37.68157958984375,3,anomaly type 3,5.838205690941297e-17,3.328160528326407e-5,1.6741356393936255e-17,0.9999667406082153
18,37.37952423095703,3,anomaly type 3,7.817077149541296e-17,3.511977774905972e-5,2.1000969280392374e-17,0.9999648332595825
19,37.0876350402832,3,anomaly type 3,1.0443320669604485e-16,3.7093806895427406e-5,2.6225762975354968e-17,0.9999629259109497
20,36.7979850769043,3,anomaly type 3,1.399793943138248e-16,3.924272823496722e-5,3.275591550573647e-17,0.9999607801437378
21,36.505035400390625,3,anomaly type 3,1.867860908719626e-16,4.160507160122506e-5,4.066139642519151e-17,0.9999583959579468
22,36.21656799316406,3,anomaly type 3,2.4716116998415064e-16,4.391348920762539e-5,5.0202921482268235e-17,0.9999561309814453
23,35.93648910522461,3,anomaly type 3,3.2603608393908304e-16,4.640610859496519e-5,6.159803586934564e-17,0.9999536275863647
24,35.659523010253906,3,anomaly type 3,4.3071053620641776e-16,4.9099868192570284e-5,7.558278805653055e-17,0.9999508857727051
25,35.38109588623047,3,anomaly type 3,5.680279177252591e-16,5.1932845963165164e-5,9.254849403056466e-17,0.9999480247497559
26,35.10436248779297,3,anomaly type 3,7.45154153699158e-16,5.488624083227478e-5,1.1282808406183322e-16,0.9999451637268066
