Epoch,TrainLoss,ValLoss,ValAccuracy
1,0.940974,0.530207,0.806917
2,0.347963,0.216332,0.924766
3,0.208433,0.180789,0.93247
4,0.106952,0.094508,0.969349
5,0.094822,0.136963,0.962301
6,0.066901,0.124084,0.964432
7,0.051692,0.047284,0.987871
8,0.052388,0.11218,0.968038
9,0.041561,0.106448,0.972955
10,0.028867,0.112985,0.970005
11,0.038214,0.10346,0.9782
12,0.035947,0.076191,0.982626
13,0.032268,0.099828,0.97525
14,0.018048,0.156467,0.959187
15,0.013489,0.063825,0.985576
16,0.024202,0.11374,0.971808
17,0.02795,0.056279,0.987707
18,0.041266,0.095904,0.974758
19,0.018584,0.114869,0.970497
20,0.029828,0.059864,0.985904
