Dataset,Class,Precision,Recall,F1,Support,Accuracy
Training,no anomaly,0.9972,1.0,0.9986,3900,0.9984
Training,anomaly type 2,0.9981,0.9995,0.9988,4108,0.9984
Training,anomaly type 3,0.9983,0.9979,0.9981,2893,0.9984
Training,anomaly type 1,0.9998,0.9966,0.9982,4962,0.9984
Training,Overall (macro avg),0.9983,0.9985,0.9984,15863,0.9984
Validation,no anomaly,0.9894,1.0,0.9947,1500,0.9859
Validation,anomaly type 2,0.9811,0.9842,0.9826,1580,0.9859
Validation,anomaly type 3,0.9804,0.9874,0.9839,1113,0.9859
Validation,anomaly type 1,0.9904,0.9754,0.9828,1908,0.9859
Validation,Overall (macro avg),0.9853,0.9867,0.986,6101,0.9859
Test,no anomaly,0.9983,1.0,0.9992,600,0.9984
Test,anomaly type 2,0.9968,1.0,0.9984,632,0.9984
Test,anomaly type 3,1.0,0.9978,0.9989,446,0.9984
Test,anomaly type 1,0.9987,0.9961,0.9974,765,0.9984
Test,Overall (macro avg),0.9985,0.9985,0.9985,2443,0.9984
